Date,MSCI WORLD,MSCI AC WORLD,MSCI EUROPE,MSCI EM,MSCI EAFE,MSCI PACIFIC,MSCI USA,Treasury.Bond.10Y,Treasury.Bill.90D,Treasury.Bill.30D
5/31/1991,0.022826819,0.023920231,0.029919765,0.078460805,0.010729472,-0.00369424,0.041616834,0.004376,0.004892,0.004461
6/28/1991,-0.06157544,-0.060973236,-0.083591105,-0.035721509,-0.07321935,-0.065162984,-0.045762063,-0.006102,0.004511,0.004171
7/31/1991,0.047401039,0.047638055,0.06970547,0.051844952,0.049403351,0.033895208,0.046883186,0.013229,0.005221,0.00484
8/30/1991,-0.003009688,-0.002014947,0.018627603,0.021070492,-0.020063399,-0.050537382,0.024296825,0.025923,0.005137,0.00461
9/30/1991,0.026398172,0.025468962,0.030383876,-0.038331932,0.056658957,0.078838288,-0.016921243,0.031095,0.004981,0.004558
10/31/1991,0.016383574,0.017404814,-0.020634502,0.040806422,0.014426453,0.042718361,0.017296804,0.006005,0.005029,0.004246
11/29/1991,-0.043410136,-0.043031561,-0.023099264,-0.014859131,-0.046419081,-0.064143672,-0.040361404,0.008336,0.004846,0.003915
12/31/1991,0.072975525,0.074262813,0.078582111,0.112357325,0.051956586,0.030857095,0.114258574,0.054398,0.004796,0.003792
1/31/1992,-0.018347168,-0.014949791,0.000101246,0.115766156,-0.021066627,-0.038574141,-0.016634205,-0.024549,0.003505,0.003059
2/28/1992,-0.017086492,-0.015107189,0.004286386,0.044426953,-0.035517935,-0.069873786,0.01148169,0.008862,0.002851,0.002828
3/31/1992,-0.046936788,-0.044513903,-0.034631219,0.033835492,-0.065738914,-0.094912072,-0.018406996,-0.007535,0.003454,0.003376
4/30/1992,0.014116752,0.013409933,0.055577163,-0.006946428,0.005006879,-0.045628651,0.029291775,0.003928,0.00411,0.003303
5/29/1992,0.039959918,0.038327577,0.0573168,-0.003587059,0.067242962,0.078227816,0.004117786,0.021337,0.003122,0.002758
6/30/1992,-0.033318322,-0.035656641,-0.018250909,-0.099199247,-0.047100138,-0.078434475,-0.015236388,0.019971,0.003652,0.003201
7/31/1992,0.002737276,0.003194656,-0.035323447,0.010873506,-0.025273209,-0.01367807,0.041739955,0.035683,0.003894,0.002892
8/31/1992,0.02450605,0.022421948,-0.002821914,-0.046626521,0.063061622,0.137224401,-0.02394162,0.009816,0.002884,0.002605
9/30/1992,-0.008982848,-0.008520933,-0.016107172,0.003432317,-0.019429502,-0.022706039,0.010899931,0.019812,0.003376,0.002573
10/30/1992,-0.026907587,-0.024458661,-0.069371673,0.053488291,-0.052150907,-0.035102847,0.006133989,-0.017524,0.002093,0.002286
11/30/1992,0.018078664,0.016643683,-7.61E-05,-0.010772444,0.009717167,0.019065786,0.033269298,-0.00345,0.002163,0.002346
12/31/1992,0.00826458,0.009459079,0.023347716,0.029395361,0.005475034,-0.011241654,0.011064972,0.022404,0.003378,0.00227
1/29/1993,0.003529072,0.003538039,0.002076393,0.004835629,0.000176194,-0.001656516,0.00882387,0.027836,0.002874,0.002335
2/26/1993,0.023872971,0.023518016,0.011820091,0.016769115,0.03050258,0.048699244,0.013179351,0.026678,0.002229,0.002209
3/31/1993,0.058160847,0.057464946,0.051819783,0.033069947,0.087457224,0.121015409,0.020624209,0.005287,0.00289,0.002538
